Location,Description,Total_Inspection_Completed_Works,Completed_Works_U%,Ongoing_Works,Ongoing_U%,Maintenance_Works,Maintenance_U%,Bridge_Works,Bridge_U%,Total_Inspection
Chandankiyari,        Unsatisfactory works grading during  2022 - 2023,4,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Chandankiyari,        Unsatisfactory works grading during  2023 - 2024,6,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Chas,        Unsatisfactory works grading during  2022 - 2023,4,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Chas,        Unsatisfactory works grading during  2023 - 2024,5,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Gomia,        Unsatisfactory works grading during  2022 - 2023,12,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Gomia,        Unsatisfactory works grading during  2023 - 2024,34,0,0.00%,0,0.00%,1,2.94%,0,0.00%
Jaridhi,        Unsatisfactory works grading during  2022 - 2023,0,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Jaridhi,        Unsatisfactory works grading during  2023 - 2024,7,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Kasmar,        Unsatisfactory works grading during  2022 - 2023,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Kasmar,        Unsatisfactory works grading during  2023 - 2024,4,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Nawadih,        Unsatisfactory works grading during  2022 - 2023,11,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Nawadih,        Unsatisfactory works grading during  2023 - 2024,13,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Petarwar,        Unsatisfactory works grading during  2022 - 2023,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Petarwar,        Unsatisfactory works grading during  2023 - 2024,7,0,0.00%,0,0.00%,0,0.00%,0,0.00%
