Location,Description,Total_Inspection_Completed_Works,Completed_Works_U%,Ongoing_Works,Ongoing_U%,Maintenance_Works,Maintenance_U%,Bridge_Works,Bridge_U%,Total_Inspection
Andaman And Nicobar,        Unsatisfactory works grading during  2022 - 2023,21,0,0.00%,3,14.29%,0,0.00%,0,0.00%
Andaman And Nicobar,        Unsatisfactory works grading during  2023 - 2024,45,2,4.44%,0,0.00%,0,0.00%,0,0.00%
Andhra Pradesh,        Unsatisfactory works grading during  2022 - 2023,130,0,0.00%,1,0.77%,0,0.00%,0,0.00%
Andhra Pradesh,        Unsatisfactory works grading during  2023 - 2024,341,0,0.00%,2,0.59%,8,2.35%,0,0.00%
Arunachal Pradesh,        Unsatisfactory works grading during  2022 - 2023,146,0,0.00%,0,0.00%,4,2.74%,0,0.00%
Arunachal Pradesh,        Unsatisfactory works grading during  2023 - 2024,256,0,0.00%,1,0.39%,5,1.95%,5,1.95%
Assam,        Unsatisfactory works grading during  2022 - 2023,871,0,0.00%,7,0.80%,59,6.77%,4,0.46%
Assam,        Unsatisfactory works grading during  2023 - 2024,"2,042",4,0.20%,6,0.29%,176,8.62%,2,0.10%
Bihar,        Unsatisfactory works grading during  2022 - 2023,"1,315",0,0.00%,9,0.68%,176,13.38%,41,3.12%
Bihar,        Unsatisfactory works grading during  2023 - 2024,"3,173",13,0.41%,11,0.35%,282,8.89%,95,2.99%
Chhattisgarh,        Unsatisfactory works grading during  2022 - 2023,749,0,0.00%,0,0.00%,2,0.27%,0,0.00%
Chhattisgarh,        Unsatisfactory works grading during  2023 - 2024,"1,328",0,0.00%,0,0.00%,4,0.30%,0,0.00%
Gujarat,        Unsatisfactory works grading during  2022 - 2023,166,0,0.00%,0,0.00%,7,4.22%,0,0.00%
Gujarat,        Unsatisfactory works grading during  2023 - 2024,287,3,1.05%,5,1.74%,4,1.39%,0,0.00%
Haryana,        Unsatisfactory works grading during  2022 - 2023,75,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Haryana,        Unsatisfactory works grading during  2023 - 2024,218,0,0.00%,0,0.00%,7,3.21%,0,0.00%
Himachal Pradesh,        Unsatisfactory works grading during  2022 - 2023,227,0,0.00%,8,3.52%,20,8.81%,2,0.88%
Himachal Pradesh,        Unsatisfactory works grading during  2023 - 2024,438,3,0.68%,6,1.37%,36,8.22%,0,0.00%
Jammu And Kashmir,        Unsatisfactory works grading during  2022 - 2023,254,0,0.00%,3,1.18%,12,4.72%,0,0.00%
Jammu And Kashmir,        Unsatisfactory works grading during  2023 - 2024,901,4,0.44%,22,2.44%,81,8.99%,1,0.11%
Jharkhand,        Unsatisfactory works grading during  2022 - 2023,675,0,0.00%,3,0.44%,14,2.07%,0,0.00%
Jharkhand,        Unsatisfactory works grading during  2023 - 2024,"1,245",0,0.00%,1,0.08%,28,2.25%,0,0.00%
Karnataka,        Unsatisfactory works grading during  2022 - 2023,328,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Karnataka,        Unsatisfactory works grading during  2023 - 2024,614,2,0.33%,2,0.33%,1,0.16%,0,0.00%
Kerala,        Unsatisfactory works grading during  2022 - 2023,140,0,0.00%,1,0.71%,21,15.00%,0,0.00%
Kerala,        Unsatisfactory works grading during  2023 - 2024,264,0,0.00%,7,2.65%,18,6.82%,0,0.00%
Ladakh,        Unsatisfactory works grading during  2022 - 2023,0,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Ladakh,        Unsatisfactory works grading during  2023 - 2024,31,0,0.00%,1,3.23%,0,0.00%,0,0.00%
Madhya Pradesh,        Unsatisfactory works grading during  2022 - 2023,"1,687",1,0.06%,5,0.30%,73,4.33%,1,0.06%
Madhya Pradesh,        Unsatisfactory works grading during  2023 - 2024,"2,591",1,0.04%,7,0.27%,153,5.91%,8,0.31%
Maharashtra,        Unsatisfactory works grading during  2022 - 2023,380,0,0.00%,7,1.84%,0,0.00%,0,0.00%
Maharashtra,        Unsatisfactory works grading during  2023 - 2024,668,0,0.00%,18,2.69%,2,0.30%,0,0.00%
Manipur,        Unsatisfactory works grading during  2022 - 2023,75,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Manipur,        Unsatisfactory works grading during  2023 - 2024,19,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Meghalaya,        Unsatisfactory works grading during  2022 - 2023,154,0,0.00%,1,0.65%,2,1.30%,0,0.00%
Meghalaya,        Unsatisfactory works grading during  2023 - 2024,194,1,0.52%,3,1.55%,1,0.52%,0,0.00%
Mizoram,        Unsatisfactory works grading during  2022 - 2023,49,1,2.04%,1,2.04%,1,2.04%,0,0.00%
Mizoram,        Unsatisfactory works grading during  2023 - 2024,73,1,1.37%,4,5.48%,0,0.00%,0,0.00%
Nagaland,        Unsatisfactory works grading during  2022 - 2023,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Nagaland,        Unsatisfactory works grading during  2023 - 2024,36,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Odisha,        Unsatisfactory works grading during  2022 - 2023,"1,369",6,0.44%,38,2.78%,249,18.19%,3,0.22%
Odisha,        Unsatisfactory works grading during  2023 - 2024,"2,818",11,0.39%,97,3.44%,561,19.91%,3,0.11%
Punjab,        Unsatisfactory works grading during  2022 - 2023,132,0,0.00%,0,0.00%,11,8.33%,0,0.00%
Punjab,        Unsatisfactory works grading during  2023 - 2024,300,0,0.00%,2,0.67%,1,0.33%,0,0.00%
