DISTRICT_NAME,BLOCK_NAME,SANCTION_YEAR,IMS_PACKAGE_ID,IMS_ROAD_NAME,IMS_PAV_LENGTH,NQM_INSP_COUNT,NQM_GRADE,SQM_INSP_COUNT1,SQM_GRADE
Ariyalur,Andimadam,2014-2015,TN3088,L046-Devanur to Kalvettu road (VR2066) ,1.515,0,--,1,Satisfactory
Ariyalur,Andimadam,2014-2015,TN3090,L060-Silambur to Thirukonam road (VR2180) ,5.4,0,--,1,Satisfactory
Ariyalur,Andimadam,2017-2018,TN30113,MRL29-Therkunatham to Kattathur Road,2.699,0,--,1,Required Improvement
Ariyalur,Andimadam,2017-2018,TN30113,MRL11-Periyathathur - Velichankudi to Keelaneduvai Road,1.714,0,--,2,Unsatisfactory
Ariyalur,Andimadam,2017-2018,TN30114,MRL17-Andimadam to Pattanakuruchi - Melaneduvai Road,3.9,0,--,1,Satisfactory
Ariyalur,Andimadam,2017-2018,TN30114,MRL22-Melur to Devanur Kuvagam Road,2.4,0,--,1,Satisfactory
Ariyalur,Andimadam,2017-2018,TN30115,MRL09- Salakarai - Periyakrishnapuram to Kovilvalkai Road,5.385,0,--,1,Satisfactory
Ariyalur,Andimadam,2017-2018,TN30116,MRL12-Periyathathur -Keelaneduvai to Nettalakurichi road,3.275,0,--,2,Satisfactory
Ariyalur,Andimadam,2017-2018,TN30116,MRL05-Thanjavuransavadi to Manakollai Road,2.0,0,--,1,Satisfactory
Ariyalur,Andimadam,2017-2018,TN30116,MRL06-Soorakuzhi -Kavarapalayam - Mettukuppam  Road,1.465,0,--,1,Unsatisfactory
Ariyalur,Andimadam,2018-2019,TN30126,MRL02-Periyakarukkai to Sriraman Reddipalayam colony Road,3.9,0,--,1,Satisfactory
Ariyalur,Andimadam,2018-2019,TN30128,L029-Periyathathur to Reddithathur road (VR2187) ,1.575,0,--,1,Satisfactory
Ariyalur,Andimadam,2020-2021,TN30139,MRL01-Anikuthichan -  Koovathur - Kattathur Road,4.263,0,--,2,Satisfactory
Ariyalur,Andimadam,2020-2021,TN30140,MRL19-Devanur to Sengundhapuram Road (Via Pudhukudi),5.494,0,--,4,Satisfactory
Ariyalur,Andimadam,2020-2021,TN30144,MRL13-Panchanakkarai - Keelaneduvai -Thirukalappur -Muthuvinayagarkuppam Road,2.525,0,--,3,Satisfactory
Ariyalur,Ariyalur,2014-2015,TN3082,L023-AA road to Poomudaiyanpatti road (VR20116) ,2.175,0,--,1,Satisfactory
Ariyalur,Ariyalur,2014-2015,TN3082,L073-AS road to Ameenabath road (VR2041) ,1.325,0,--,1,Satisfactory
Ariyalur,Ariyalur,2014-2015,TN3082,L072-AS road  to Venkatramapuram road (VR20103) ,1.0,0,--,1,Satisfactory
Ariyalur,Ariyalur,2014-2015,TN3082,L070-AS road to Venkataramanapuram road (VR20104) ,1.05,0,--,1,Satisfactory
Ariyalur,Ariyalur,2014-2015,TN3083,L038-Ariyalur Ambalavarkattalai road  to Kanjilikottakai road (VR2077) ,1.25,0,--,1,Satisfactory
Ariyalur,Ariyalur,2014-2015,TN3083,L042-Ariyalur  Ambalavarkattalai road toTherkukudisal road (VR20113) ,0.925,0,--,1,Satisfactory
Ariyalur,Ariyalur,2017-2018,TN30100,MRL29-Melakaruppur toSemandhankudi road,2.0,0,--,1,Satisfactory
Ariyalur,Ariyalur,2017-2018,TN30101,MRL03-Kaveripalayam to poiyathanallur road,3.7,0,--,1,Satisfactory
Ariyalur,Ariyalur,2018-2019,TN30123,MRL16-KALLAKITTI TO ALANDURAIYARKATTALAI VIA KARPULAKATALAI,2.1,0,--,1,Unsatisfactory
Ariyalur,Jayamkondam,2017-2018,TN30105,MRL12-Meikavalputhur-Veeracholapuram (via) Mendevanallur road,3.0,0,--,1,Satisfactory
Ariyalur,Jayamkondam,2017-2018,TN30105,MRL21-Soosayapparpattinam-Edayar road,2.69,0,--,1,Satisfactory
Ariyalur,Jayamkondam,2017-2018,TN30106,MRL04-Gangaikondacholapuram-Pagalmedu-Vettiyarvettu road,5.25,0,--,1,Unsatisfactory
Ariyalur,Jayamkondam,2017-2018,TN30107,MRL22-V.T.Pattinam-Pilichikuzhi-Nayaganaipriyal road,5.457,0,--,1,Satisfactory
Ariyalur,Jayamkondam,2017-2018,TN30108,MRL01-Kallathur-Meensurity road,6.4,0,--,2,Unsatisfactory
Ariyalur,Jayamkondam,2017-2018,TN30109,MRL08-Narasingapalayam-A.N pettai-Papakudi road km 0/0-6/200,6.2,0,--,1,Unsatisfactory
Ariyalur,Jayamkondam,2017-2018,TN30110,MRL11-Veeracholapuram-Vanavanallur-Valavaneri road,3.0,0,--,2,Unsatisfactory
Ariyalur,Jayamkondam,2017-2018,TN30110,MRL30-J.V -Marukkalankurichy road km 0/0-2/8,2.802,0,--,2,Satisfactory
Ariyalur,Jayamkondam,2017-2018,TN30111,MRL18-Kazhuvanthondi- Perivalayam road,1.795,0,--,1,Satisfactory
Ariyalur,Jayamkondam,2017-2018,TN30111,MRL07-Eravangudi-Iruthaiyapuram- Vettiyarvettu road,4.1,0,--,1,Satisfactory
Ariyalur,Jayamkondam,2017-2018,TN30112,MRL05-Kallathur-Kalleri-Iruthaiyapuram-Saluppai-Meensurity road,7.0,0,--,1,Satisfactory
Ariyalur,Jayamkondam,2017-2018,TN30120,MRL18-Kazhuvanthondi- Perivalayam road,0.0,0,--,1,Satisfactory
Ariyalur,Jayamkondam,2020-2021,TN30135,MRL01-Kazhuvanthondi - Periyavalayam - Uthirakudi - Angarayanallur - Vt Pattinam road,4.13,1,Satisfactory,2,Satisfactory
Ariyalur,Jayamkondam,2020-2021,TN30136,MRL25-Sooriyamanal - Chettikuzhipallam - Elamangalam road,4.076,0,--,3,Satisfactory
Ariyalur,Jayamkondam,2020-2021,TN30137,MRL14-T.C road to Soosaiyapperpattinam  - V.T Pattinam road,3.012,1,Satisfactory,2,Satisfactory
Ariyalur,Sendurai,2014-2015,TN3088,L049-Sendurai-Mathur to Manapathur road (VR218) ,0.91,0,--,1,Satisfactory
Ariyalur,Sendurai,2014-2015,TN3088,L028-AJ road to Mathumadakki road,3.0,0,--,1,Satisfactory
Ariyalur,Sendurai,2014-2015,TN3088,L047-Elaikadambur to Mamanarankudikadu,0.8,0,--,1,Unsatisfactory
Ariyalur,Sendurai,2017-2018,TN30102,MRL17-Jayankondam - Sendurai road to Pasalam road ,2.0,0,--,1,Satisfactory
Ariyalur,Sendurai,2017-2018,TN30102,MRL37-Sendurai - Kulumur road to Ninniyur road,2.4,0,--,1,Unsatisfactory
Ariyalur,Sendurai,2017-2018,TN30103,MRL33-Unjini to Adthikudikadu road,2.4,0,--,1,Satisfactory
Ariyalur,Sendurai,2017-2018,TN30104,MRL51-Ayanthathanur to Anganur road,4.6,0,--,1,Unsatisfactory
Ariyalur,Sendurai,2017-2018,TN30104,MRL39-Vanjinapuram to Nakkambadi,2.8,0,--,2,Unsatisfactory
Ariyalur,Sendurai,2017-2018,TN30122,MRL44-Ponparappi - Thittakudi to  Vangaram road,0.0,0,--,1,Satisfactory
Ariyalur,Sendurai,2020-2021,TN30133,MRL53-Sendurai to Unjini via Keelarayampuram,3.221,1,Satisfactory,2,Satisfactory
Ariyalur,Sendurai,2020-2021,TN30134,MRL21-Ponparappi-Unjini Road,6.218,0,--,2,Satisfactory
Ariyalur,T Palur,2014-2015,TN3095,L026-Edanganni - Thenkatchi Perumal Natham Road (VR2034) ,3.77,0,--,2,Unsatisfactory
Ariyalur,T Palur,2014-2015,TN3095,L061-V.A Road - Melamaikelpatti Road,3.13,0,--,1,Satisfactory
Ariyalur,T Palur,2017-2018,TN30117,MRL23-Nachiyarpettai to Venmankondan Road,2.8,0,--,1,Satisfactory
Ariyalur,T Palur,2017-2018,TN30118,MRL24-Venmankondan-Vadakadal Road,3.6,0,--,2,Satisfactory
Ariyalur,T Palur,2017-2018,TN30119,MRL11-Irugaiyur Erular  Colony to Irugaiyur Road,2.3,0,--,1,Unsatisfactory
Ariyalur,T Palur,2017-2018,TN30119,MRL06-T.Palur - Adikkamalai Road,4.6,0,--,1,Satisfactory
Ariyalur,T Palur,2018-2019,TN30127,MRL15-Sripuranthan-Kasankottai-Suthamallil Road,8.7,0,--,1,Satisfactory
Ariyalur,T Palur,2018-2019,TN30129,L023-Anaikudam-Amirtharayankottairoad,2.5,0,--,1,Satisfactory
Ariyalur,T Palur,2018-2019,TN30130,L046-Nathaveli - Nariyankuzhi Road (VR20125) ,0.766,0,--,1,Satisfactory
