DISTRICT_NAME,BLOCK_NAME,SANCTION_YEAR,IMS_PACKAGE_ID,IMS_ROAD_NAME,IMS_PAV_LENGTH,NQM_INSP_COUNT,NQM_GRADE,SQM_INSP_COUNT1,SQM_GRADE
Chengalpattu,Acharapakkam,2014-2015,TN188,L029-CW Road to Sendivakkam Road,1.6,0,--,1,Satisfactory
Chengalpattu,Acharapakkam,2014-2015,TN188,Vedanthangal roa sukkankollai Road,3.05,0,--,4,Satisfactory
Chengalpattu,Acharapakkam,2014-2015,TN188,UKA Road sempoondi road,1.0,0,--,1,Satisfactory
Chengalpattu,Acharapakkam,2016-2017,TN193,L067-Keelamur Ramapurm Via Pathiri Road,2.1,0,--,1,Satisfactory
Chengalpattu,Acharapakkam,2017-2018,TN01100,MRL09-kiazhanivakkam to Muniyanthangal Road,4.2,0,--,2,Satisfactory
Chengalpattu,Acharapakkam,2017-2018,TN01101,MRL01-Karikylie to vellaputhur Road,4.0,0,--,1,Satisfactory
Chengalpattu,Acharapakkam,2017-2018,TN0198,MRL06-L.Endathur to Vaipanai Road,3.55,0,--,2,Satisfactory
Chengalpattu,Acharapakkam,2017-2018,TN0198,MRL10-MTD Road to Muniyanthangal Road,4.4,0,--,2,Satisfactory
Chengalpattu,Acharapakkam,2017-2018,TN0199,MRL18-OA Road to Vepangaranai Vinnampoondi Road,3.3,0,--,3,Satisfactory
Chengalpattu,Acharapakkam,2017-2018,TN0199,MRL22-Anaikunnam to Ezhupakkam road,2.55,0,--,1,Unsatisfactory
Chengalpattu,Acharapakkam,2020-2021,TN01150,MRL45-Ukroad-Gudapakkam kozhiyalam road,2.775,0,--,2,Satisfactory
Chengalpattu,Chithamur,2017-2018,TN01113,MRL16-APK Road To CP road (via) Ammanampakkam,7.1,0,--,2,Satisfactory
Chengalpattu,Chithamur,2017-2018,TN01114,T11-CP ROAD TO Thiruvalarcheri,3.45,0,--,2,Satisfactory
Chengalpattu,Chithamur,2017-2018,TN01115,MRL15-A.K punjai To Kayapakkam,3.45,0,--,2,Satisfactory
Chengalpattu,Chithamur,2018-2019,TN01137,L048-CP Road Thuraiyur,1.125,0,--,2,Unsatisfactory
Chengalpattu,Chithamur,2018-2019,TN01139,L021-Porur Colony Road,2.0,0,--,1,Satisfactory
Chengalpattu,Chithamur,2018-2019,TN1138,L081-MV Road to Poongunam,4.96,0,--,2,Satisfactory
Chengalpattu,Kattankolathur,2014-2015,TN158,L063-Porunthavakkam Road,2.3,0,--,1,Satisfactory
Chengalpattu,Kattankolathur,2017-2018,TN0194,MRL06-Kalvoy to Kandigai Road,9.4,0,--,1,Satisfactory
Chengalpattu,Kattankolathur,2018-2019,TN01134,L036-Perumattunallur Dhargas Road,1.3,0,--,2,Satisfactory
Chengalpattu,Kattankolathur,2020-2021,TN01148,MRL21-Asthinapuram to kumzhi kannivakkam raod,3.032,0,--,1,Satisfactory
Chengalpattu,Lathur,2014-2015,TN185,L024-Paramaswarmangalam Road,1.48,0,--,1,Satisfactory
Chengalpattu,Lathur,2014-2015,TN185,L033-Nergunapattu Veeraragavapuram Road,1.47,0,--,1,Satisfactory
Chengalpattu,Lathur,2014-2015,TN186,L043-Veerapogam Seekanakuppam Viz Vellure,5.54,0,--,1,Satisfactory
Chengalpattu,Lathur,2014-2015,TN186,L046-Perumbakkam Colony Road,0.57,0,--,1,Satisfactory
Chengalpattu,Lathur,2017-2018,TN01111 ,MRL13-P.C Road to Siruvangunam via melapattu,3.72,0,--,1,Satisfactory
Chengalpattu,Lathur,2017-2018,TN01112,MRL03-ECR to Thandarai Road,6.68,0,--,2,Unsatisfactory
Chengalpattu,Lathur,2017-2018,TN01120,MRL02-Anaicut to Poigainallur Road via Parasanallur,2.97,0,--,1,Satisfactory
Chengalpattu,Lathur,2017-2018,TN01120,MRL22-PA Road to Manikuppam Road,2.36,0,--,1,Satisfactory
Chengalpattu,Lathur,2017-2018,TN1124,MRL03-ECR to Thandarai Road,0.0,0,--,1,Satisfactory
Chengalpattu,Lathur,2018-2019,TN01135,L032-Km1-0 of Koovathur road to Nedumaram road,3.71,0,--,2,Satisfactory
Chengalpattu,Lathur,2018-2019,TN01135,L035-ECR to Vadapattinam Kuppam Road,2.0,0,--,2,Satisfactory
Chengalpattu,Lathur,2020-2021,TN01151,MRL01-PC road to Nelvoy (via) Seevadi,3.22,0,--,2,Unsatisfactory
Chengalpattu,Lathur,2020-2021,TN01152,"MRL15-Kodur To PC road (via) Malachery colony, Siruvangunam",2.4,0,--,1,Satisfactory
Chengalpattu,Madurantakam,2014-2015,TN168,L050-MC Road To Perveli Road,2.7,0,--,1,Satisfactory
Chengalpattu,Madurantakam,2017-2018,TN01107,ML06-Pathur Thandalam Road,3.0,0,--,2,Unsatisfactory
Chengalpattu,Madurantakam,2017-2018,TN01107,MRL39-Vaiyavur kumaravadi Road,3.0,0,--,2,Satisfactory
Chengalpattu,Madurantakam,2018-2019,TN01140,L030-Karunguzhi Chetty Street To Mulli,2.4,0,--,1,Satisfactory
Chengalpattu,Madurantakam,2018-2019,TN01140,L079-NT road to Chithalamangalam colony,2.0,0,--,1,Satisfactory
Chengalpattu,Madurantakam,2018-2019,TN1141A,L075-Nelvoy Thirukazhukundram Road Pasumbur Road,3.05,0,--,2,Satisfactory
Chengalpattu,Madurantakam,2020-2021,TN01153,MRL36-endathur maruvalam to netrampakkam road,6.6,0,--,1,Satisfactory
Chengalpattu,Madurantakam,2020-2021,TN01154,MRL23-mariputhur athivakkam mettukudisairoad,3.984,0,--,1,Satisfactory
Chengalpattu,Madurantakam,2021-2022,TN3401,MRL99-N T ROAD TO ESSUR PALAR RIVER ROAD,5.18,0,--,3,Satisfactory
Chengalpattu,Madurantakam,2021-2022,TN3402,T01-Thathankuppam to k.k.pudur road,7.9,0,--,3,Satisfactory
Chengalpattu,Thirukalukundram,2014-2015,TN180,L080-Eachankarani Road,1.6,0,--,1,Satisfactory
Chengalpattu,Thirukalukundram,2014-2015,TN190,L077-Arithampattu,1.5,0,--,1,Satisfactory
Chengalpattu,Thirukalukundram,2014-2015,TN190,L078-NT Road to Thirmmur,1.5,0,--,1,Satisfactory
Chengalpattu,Thirukalukundram,2014-2015,TN190,L081-NT Road Thathalur,5.5,0,--,1,Satisfactory
Chengalpattu,Thirukalukundram,2014-2015,TN191,L099-Seeyalan Kollai Village Road,1.5,0,--,1,Satisfactory
Chengalpattu,Thirukalukundram,2014-2015,TN191,L105-Gangayankuppam Road,2.9,0,--,1,Satisfactory
Chengalpattu,Thirukalukundram,2014-2015,TN192,L054-Poonthandalam Village Road,2.0,0,--,1,Satisfactory
Chengalpattu,Thirukalukundram,2014-2015,TN192,L062-Vayalur Karithitu Road,1.5,0,--,1,Satisfactory
Chengalpattu,Thirukalukundram,2017-2018,TN01117,MRL10-NT Road to Anoor Via Salur Korapattu Road,2.3,0,--,1,Satisfactory
Chengalpattu,Thirukalukundram,2017-2018,TN01118,MRL04-Narsakuppam Road,3.9,0,--,2,Satisfactory
Chengalpattu,Thirukalukundram,2017-2018,TN01119,MRL05-KARUMARAPAKKAM VEERAPURAM BAIRAGIMADAM ROAD VIA AMINJIKARAI ,1.5,0,--,2,Satisfactory
Chengalpattu,Thirukalukundram,2017-2018,TN01119A,MRL08-SCKAT ROAD TO KILAPAKKAM VIA AMMANAMPAKKAM PERUMBEDU ,2.4,0,--,2,Satisfactory
Chengalpattu,Thirukalukundram,2017-2018,TN1127,MRL05-KARUMARAPAKKAM VEERAPURAM BAIRAGIMADAM ROAD VIA AMINJIKARAI ,0.0,0,--,2,Satisfactory
Chengalpattu,Thirukalukundram,2017-2018,TN1128,MRL04-Narsakuppam Road,0.0,0,--,1,Satisfactory
