Textbox38,Textbox51,Textbox55,Textbox180,Textbox175,Textbox6,Textbox115,Textbox129,Textbox13,Textbox15,Textbox17,Textbox19,Textbox21,Textbox23,Textbox25,Textbox29,Textbox27,Textbox11,Textbox22,Textbox32,Textbox80,Textbox40,Textbox46,Textbox54,Textbox74,Textbox181,MONITOR_NAME,ADMIN_IM_YEAR,ADMIN_IM_MONTH1,STATE_NAME,DISTRICT_NAME,COMP_S,COMP_SRI,COMP_U,C_GRADE_COUNT_T,ONGOING_S,ONGOING_SRI,ONGOING_U,P_GRADE_COUNT_T,MAINT_S,MAINT_SRI,MAINT_U,M_GRADE_COUNT_T,LSB_S,LSB_SRI,LSB_U,L_GRADE_COUNT_T,Textbox132,Textbox136,Textbox137,Textbox138,Textbox139,Textbox140,Textbox141,Textbox142,Textbox143,MAINT_S1,MAINT_SRI1,MAINT_U1,M_GRADE_COUNT_T1,LSB_S1,LSB_SRI1,LSB_U1,L_GRADE_COUNT_T1,Textbox199,Textbox204,Textbox205,Textbox206,Textbox207,Textbox208,Textbox209,Textbox210,Textbox211,Textbox16,Textbox28,Textbox35,Textbox83,Textbox43,Textbox49,Textbox58,Textbox77
Grading,Completed Works,Ongoing Works,Sr.No.,Monitor,Year,Month,State,District,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,1,A H Sheikh,2023,January,Bihar,Banka,0,0,1,1,7,0,0,7,0,0,0,0,0,0,0,0,Total,2,0,1,3,38,0,0,38,2,0,1,3,0,0,0,0,Grand Total,765,91,103,959,"2,455",223,237,"2,915",696,70,212,978,343,92,67,502
Grading,Completed Works,Ongoing Works,Sr.No.,Monitor,Year,Month,State,District,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,1,A H Sheikh,2023,January,Bihar,Jamui,2,0,0,2,3,0,0,3,0,0,0,0,0,0,0,0,Total,2,0,1,3,38,0,0,38,2,0,1,3,0,0,0,0,Grand Total,765,91,103,959,"2,455",223,237,"2,915",696,70,212,978,343,92,67,502
Grading,Completed Works,Ongoing Works,Sr.No.,Monitor,Year,Month,State,District,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,1,A H Sheikh,2023,February,Uttar Pradesh,Bahraich,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,Total,2,0,1,3,38,0,0,38,2,0,1,3,0,0,0,0,Grand Total,765,91,103,959,"2,455",223,237,"2,915",696,70,212,978,343,92,67,502
Grading,Completed Works,Ongoing Works,Sr.No.,Monitor,Year,Month,State,District,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,1,A H Sheikh,2023,February,Uttar Pradesh,Barabanki,0,0,0,0,10,0,0,10,2,0,0,2,0,0,0,0,Total,2,0,1,3,38,0,0,38,2,0,1,3,0,0,0,0,Grand Total,765,91,103,959,"2,455",223,237,"2,915",696,70,212,978,343,92,67,502
Grading,Completed Works,Ongoing Works,Sr.No.,Monitor,Year,Month,State,District,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,1,A H Sheikh,2023,March,Jharkhand,Latehar,0,0,0,0,5,0,0,5,0,0,1,1,0,0,0,0,Total,2,0,1,3,38,0,0,38,2,0,1,3,0,0,0,0,Grand Total,765,91,103,959,"2,455",223,237,"2,915",696,70,212,978,343,92,67,502
Grading,Completed Works,Ongoing Works,Sr.No.,Monitor,Year,Month,State,District,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,1,A H Sheikh,2023,March,Jharkhand,Chatra,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,Total,2,0,1,3,38,0,0,38,2,0,1,3,0,0,0,0,Grand Total,765,91,103,959,"2,455",223,237,"2,915",696,70,212,978,343,92,67,502
Grading,Completed Works,Ongoing Works,Sr.No.,Monitor,Year,Month,State,District,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,2,AB Majid Khan  ,2023,January,Chhattisgarh,Kanker,1,1,0,2,0,1,0,1,1,0,0,1,0,0,0,0,Total,14,7,0,21,26,6,3,35,10,0,0,10,0,0,0,0,Grand Total,765,91,103,959,"2,455",223,237,"2,915",696,70,212,978,343,92,67,502
Grading,Completed Works,Ongoing Works,Sr.No.,Monitor,Year,Month,State,District,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,2,AB Majid Khan  ,2023,January,Chhattisgarh,Gariaband,1,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,Total,14,7,0,21,26,6,3,35,10,0,0,10,0,0,0,0,Grand Total,765,91,103,959,"2,455",223,237,"2,915",696,70,212,978,343,92,67,502
Grading,Completed Works,Ongoing Works,Sr.No.,Monitor,Year,Month,State,District,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,2,AB Majid Khan  ,2023,January,Chhattisgarh,Bemetra,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Total,14,7,0,21,26,6,3,35,10,0,0,10,0,0,0,0,Grand Total,765,91,103,959,"2,455",223,237,"2,915",696,70,212,978,343,92,67,502
Grading,Completed Works,Ongoing Works,Sr.No.,Monitor,Year,Month,State,District,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,S,SRI,U,Total,2,AB Majid Khan  ,2023,February,Uttarakhand,Champawat,0,0,0,0,3,0,1,4,0,0,0,0,0,0,0,0,Total,14,7,0,21,26,6,3,35,10,0,0,10,0,0,0,0,Grand Total,765,91,103,959,"2,455",223,237,"2,915",696,70,212,978,343,92,67,502
