Textbox40,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Textbox18,Textbox33,LOCATION_NAME,IMS_YEAR,Textbox8,TOTAL_PROPOSALS,LEN_COMPLETED,EXP_AMT,Textbox4,Textbox14,Textbox19,Textbox37,Textbox43,Textbox9,Textbox24,Textbox25,Textbox26,Textbox5,Textbox15,Textbox20,Textbox38,Textbox44
District,1,Bokaro,        Unsatisfactory works grading during  2022 - 2023,37,0,0.00%,0,0.00%,0,0.00%,0,0.00%,675,0,0.00%,3,0.44%,14,2.07%,0,0.00%
District,1,Bokaro,        Unsatisfactory works grading during  2023 - 2024,76,0,0.00%,0,0.00%,1,1.32%,0,0.00%,"1,245",0,0.00%,1,0.08%,28,2.25%,0,0.00%
District,2,Chatra,        Unsatisfactory works grading during  2022 - 2023,53,0,0.00%,3,5.66%,0,0.00%,0,0.00%,675,0,0.00%,3,0.44%,14,2.07%,0,0.00%
District,2,Chatra,        Unsatisfactory works grading during  2023 - 2024,75,0,0.00%,0,0.00%,1,1.33%,0,0.00%,"1,245",0,0.00%,1,0.08%,28,2.25%,0,0.00%
District,3,Deoghar,        Unsatisfactory works grading during  2022 - 2023,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,675,0,0.00%,3,0.44%,14,2.07%,0,0.00%
District,3,Deoghar,        Unsatisfactory works grading during  2023 - 2024,26,0,0.00%,0,0.00%,0,0.00%,0,0.00%,"1,245",0,0.00%,1,0.08%,28,2.25%,0,0.00%
District,4,Dhanbad,        Unsatisfactory works grading during  2022 - 2023,21,0,0.00%,0,0.00%,0,0.00%,0,0.00%,675,0,0.00%,3,0.44%,14,2.07%,0,0.00%
District,4,Dhanbad,        Unsatisfactory works grading during  2023 - 2024,55,0,0.00%,0,0.00%,1,1.82%,0,0.00%,"1,245",0,0.00%,1,0.08%,28,2.25%,0,0.00%
District,5,Dumka,        Unsatisfactory works grading during  2022 - 2023,26,0,0.00%,0,0.00%,0,0.00%,0,0.00%,675,0,0.00%,3,0.44%,14,2.07%,0,0.00%
District,5,Dumka,        Unsatisfactory works grading during  2023 - 2024,67,0,0.00%,0,0.00%,0,0.00%,0,0.00%,"1,245",0,0.00%,1,0.08%,28,2.25%,0,0.00%
District,6,Garhwa,        Unsatisfactory works grading during  2022 - 2023,24,0,0.00%,0,0.00%,0,0.00%,0,0.00%,675,0,0.00%,3,0.44%,14,2.07%,0,0.00%
District,6,Garhwa,        Unsatisfactory works grading during  2023 - 2024,49,0,0.00%,0,0.00%,1,2.04%,0,0.00%,"1,245",0,0.00%,1,0.08%,28,2.25%,0,0.00%
District,7,Giridih,        Unsatisfactory works grading during  2022 - 2023,57,0,0.00%,0,0.00%,3,5.26%,0,0.00%,675,0,0.00%,3,0.44%,14,2.07%,0,0.00%
District,7,Giridih,        Unsatisfactory works grading during  2023 - 2024,92,0,0.00%,0,0.00%,2,2.17%,0,0.00%,"1,245",0,0.00%,1,0.08%,28,2.25%,0,0.00%
District,8,Godda,        Unsatisfactory works grading during  2022 - 2023,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,675,0,0.00%,3,0.44%,14,2.07%,0,0.00%
District,8,Godda,        Unsatisfactory works grading during  2023 - 2024,17,0,0.00%,0,0.00%,0,0.00%,0,0.00%,"1,245",0,0.00%,1,0.08%,28,2.25%,0,0.00%
District,9,Gumla,        Unsatisfactory works grading during  2022 - 2023,47,0,0.00%,0,0.00%,0,0.00%,0,0.00%,675,0,0.00%,3,0.44%,14,2.07%,0,0.00%
District,9,Gumla,        Unsatisfactory works grading during  2023 - 2024,96,0,0.00%,0,0.00%,3,3.13%,0,0.00%,"1,245",0,0.00%,1,0.08%,28,2.25%,0,0.00%
District,10,Hazaribagh,        Unsatisfactory works grading during  2022 - 2023,65,0,0.00%,0,0.00%,0,0.00%,0,0.00%,675,0,0.00%,3,0.44%,14,2.07%,0,0.00%
District,10,Hazaribagh,        Unsatisfactory works grading during  2023 - 2024,65,0,0.00%,0,0.00%,1,1.54%,0,0.00%,"1,245",0,0.00%,1,0.08%,28,2.25%,0,0.00%
District,11,Jamtara,        Unsatisfactory works grading during  2022 - 2023,0,0,0.00%,0,0.00%,0,0.00%,0,0.00%,675,0,0.00%,3,0.44%,14,2.07%,0,0.00%
District,11,Jamtara,        Unsatisfactory works grading during  2023 - 2024,8,0,0.00%,0,0.00%,0,0.00%,0,0.00%,"1,245",0,0.00%,1,0.08%,28,2.25%,0,0.00%
District,12,Khunti,        Unsatisfactory works grading during  2022 - 2023,55,0,0.00%,0,0.00%,0,0.00%,0,0.00%,675,0,0.00%,3,0.44%,14,2.07%,0,0.00%
District,12,Khunti,        Unsatisfactory works grading during  2023 - 2024,77,0,0.00%,0,0.00%,5,6.49%,0,0.00%,"1,245",0,0.00%,1,0.08%,28,2.25%,0,0.00%
District,13,Koderma,        Unsatisfactory works grading during  2022 - 2023,0,0,0.00%,0,0.00%,0,0.00%,0,0.00%,675,0,0.00%,3,0.44%,14,2.07%,0,0.00%
District,13,Koderma,        Unsatisfactory works grading during  2023 - 2024,9,0,0.00%,0,0.00%,0,0.00%,0,0.00%,"1,245",0,0.00%,1,0.08%,28,2.25%,0,0.00%
District,14,Latehar,        Unsatisfactory works grading during  2022 - 2023,45,0,0.00%,0,0.00%,0,0.00%,0,0.00%,675,0,0.00%,3,0.44%,14,2.07%,0,0.00%
District,14,Latehar,        Unsatisfactory works grading during  2023 - 2024,71,0,0.00%,0,0.00%,3,4.23%,0,0.00%,"1,245",0,0.00%,1,0.08%,28,2.25%,0,0.00%
District,15,Lohardaga,        Unsatisfactory works grading during  2022 - 2023,10,0,0.00%,0,0.00%,0,0.00%,0,0.00%,675,0,0.00%,3,0.44%,14,2.07%,0,0.00%
District,15,Lohardaga,        Unsatisfactory works grading during  2023 - 2024,44,0,0.00%,0,0.00%,1,2.27%,0,0.00%,"1,245",0,0.00%,1,0.08%,28,2.25%,0,0.00%
District,16,Pakur,        Unsatisfactory works grading during  2022 - 2023,11,0,0.00%,0,0.00%,0,0.00%,0,0.00%,675,0,0.00%,3,0.44%,14,2.07%,0,0.00%
District,16,Pakur,        Unsatisfactory works grading during  2023 - 2024,19,0,0.00%,0,0.00%,0,0.00%,0,0.00%,"1,245",0,0.00%,1,0.08%,28,2.25%,0,0.00%
District,17,Palamu,        Unsatisfactory works grading during  2022 - 2023,47,0,0.00%,0,0.00%,8,17.02%,0,0.00%,675,0,0.00%,3,0.44%,14,2.07%,0,0.00%
District,17,Palamu,        Unsatisfactory works grading during  2023 - 2024,68,0,0.00%,0,0.00%,1,1.47%,0,0.00%,"1,245",0,0.00%,1,0.08%,28,2.25%,0,0.00%
District,18,Pashchimi Singhbhum,        Unsatisfactory works grading during  2022 - 2023,38,0,0.00%,0,0.00%,1,2.63%,0,0.00%,675,0,0.00%,3,0.44%,14,2.07%,0,0.00%
District,18,Pashchimi Singhbhum,        Unsatisfactory works grading during  2023 - 2024,60,0,0.00%,1,1.67%,0,0.00%,0,0.00%,"1,245",0,0.00%,1,0.08%,28,2.25%,0,0.00%
District,19,Purbi Singhbhum,        Unsatisfactory works grading during  2022 - 2023,33,0,0.00%,0,0.00%,0,0.00%,0,0.00%,675,0,0.00%,3,0.44%,14,2.07%,0,0.00%
District,19,Purbi Singhbhum,        Unsatisfactory works grading during  2023 - 2024,109,0,0.00%,0,0.00%,1,0.92%,0,0.00%,"1,245",0,0.00%,1,0.08%,28,2.25%,0,0.00%
District,20,Ramgarh,        Unsatisfactory works grading during  2022 - 2023,18,0,0.00%,0,0.00%,0,0.00%,0,0.00%,675,0,0.00%,3,0.44%,14,2.07%,0,0.00%
District,20,Ramgarh,        Unsatisfactory works grading during  2023 - 2024,6,0,0.00%,0,0.00%,0,0.00%,0,0.00%,"1,245",0,0.00%,1,0.08%,28,2.25%,0,0.00%
District,21,Ranchi,        Unsatisfactory works grading during  2022 - 2023,28,0,0.00%,0,0.00%,0,0.00%,0,0.00%,675,0,0.00%,3,0.44%,14,2.07%,0,0.00%
District,21,Ranchi,        Unsatisfactory works grading during  2023 - 2024,40,0,0.00%,0,0.00%,0,0.00%,0,0.00%,"1,245",0,0.00%,1,0.08%,28,2.25%,0,0.00%
